NODE_ID,NODE_NAME,SI_CODE,GU_CODE,X,Y,Longitude,Latitude,Radius,trafficlight_num,crosswalk_num,station_num,school_num,land_price,house_1,house_2,house_3,house_4,commerce_1,commerce_2,commerce_3,commerce_4,green_1,green_2,green_3,industry_1,industry_2,industry_3,limit,mediansep_,island_num,mean_lanes,mean_speed,mean_wth,mean_loadlen,busstop_num,police_num,CtoC_num,CtoP_num,total_acc
1390017300,-,B,JJ,1132802.662,1678887.727,128.9570022,35.09638414,40,0,0,0,0,11639030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,13,494.667,0,0,5,2,7
1390006900,-,B,JJ,1135324.031,1675056.935,128.9840308,35.06151674,40,0,0,0,3,254103.8298,0,0.910529652,0,0,0,0,0,0,0.089470348,0,0,0,0,0,0,0,0,1.5,50,11.333,535,0,1,5,3,8
1390012600,-,B,JJ,1133830.631,1677592.02,128.9680675,35.08456817,40,0,0,0,1,1055163.843,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,35,15,723,0,0,6,0,6
1390005000,-,B,JJ,1133066.543,1674595.776,128.9592073,35.05765999,40,0,0,0,0,53763.05099,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,45,15,1795,0,0,0,0,0
1390019600,-,B,JJ,1133152.601,1679696.722,128.9609704,35.10363052,40,0,0,0,0,14170052.75,0,0.339430824,0,0.660569175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,13,906,2,0,3,8,11
1310001900,-,B,KK,1138370.773,1677113.852,129.0177759,35.0796448,40,8,1,0,2,15389090.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.5,45,9.75,810.75,2,0,12,8,20
1310002300,-,B,KK,1138698.963,1677481.716,129.0214362,35.08291568,40,0,0,0,3,11512649.08,0,0.989509057,0.010490942,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,46.667,13.5,3296.5,0,0,13,6,19
1310003400,-,B,KK,1137537.84,1680293.676,129.0091705,35.10842225,40,7,0,0,0,13135093.75,0,0.994137841,0,0,0,0,0,0,0.005862158,0,0,0,0,0,0,0,2,1,50,13,2654.667,1,0,7,4,11
1310001000,구덕운동장,B,KK,1138201.727,1680757.706,129.0165304,35.11251418,40,7,1,1,1,35379282.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.25,37.5,12.6,867.8,1,0,12,11,23
1430008900,-,B,LL,1146388.29,1687823.97,129.1075858,35.17505018,40,16,2,0,0,24297528.87,0,0,0.407740791,0.592259209,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,48,9.8,627.4,2,0,36,20,56
1430003900,-,B,LL,1148774.487,1685703.233,129.1333985,35.1555843,40,0,0,0,0,7442922.758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,14,142.333,0,0,1,2,3
1430003100,-,B,LL,1147436.246,1685589.709,129.1186908,35.15475821,40,0,0,0,0,31086462.07,0,0.223799078,0,0.256405186,0.519795734,0,0,0,0,0,0,0,0,0,0,0,0,1.5,45,10.059,354.5,0,0,14,12,26
1430003400,-,B,LL,1148533.277,1685632.016,129.1307383,35.15497805,40,0,0,0,0,4243690.053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,13,785.25,0,0,2,5,7
